,pr-0,pr-1,pr-2,pr-3,ar-0,ar-1,ar-2,ar-3,pid,class-0-latency,class-1-latency,class-2-latency,class-3-latency,class-0-bw,class-1-bw,class-2-bw,class-3-bw
14,95.0,89.0,18.0,77.0,23.0,32.0,1.0,32.0,29673.0,1.490324,14.210355,62.824261,24.75749,7319.650678000011,139011.4402499998,8631.21514799997,54437.918632999965
15,71.0,43.0,57.0,66.0,19.0,10.0,8.0,18.0,28102.0,1.490872,32.019375,7.337563,32.817898,7319.984485999975,74404.04414999983,82393.2838340002,42531.40449499999
16,86.0,72.0,92.0,22.0,25.0,14.0,22.0,4.0,27018.0,1.489516,17.725502,14.765748,59.327995,7313.284883999987,117659.20162500013,69121.42753500013,14098.110208999991
17,75.0,82.0,66.0,100.0,5.0,15.0,13.0,25.0,29137.0,,,,,0.0,0.0,0.0,0.0
18,69.0,55.0,62.0,31.0,38.0,17.0,33.0,7.0,26142.0,1.491099,24.566971,7.026265,46.563267,7320.752157999965,92731.44247499986,83079.38099899975,23222.432139000113
19,67.0,25.0,51.0,71.0,1.0,8.0,12.0,67.0,29593.0,1.543026,47.883053,19.754658,4.522834,7322.187438999972,48137.679112000056,59458.775515999834,89290.49013099974
20,82.0,68.0,46.0,79.0,4.0,32.0,6.0,56.0,26012.0,1.524969,22.42938,55.728233,7.546383,7308.220883000001,100638.32279900006,17360.997213000017,82031.76495699979
21,48.0,99.0,96.0,70.0,8.0,29.0,34.0,0.0,27491.0,1.491222,14.226374,22.683699,36.770321,7313.9572309999985,138452.16270999977,56948.14206099996,6703.071671999981
22,98.0,90.0,97.0,82.0,19.0,5.0,20.0,17.0,30409.0,1.489172,14.977033,39.671024,43.576851,7315.955200999989,133805.66119099973,36622.180947000044,32262.535108999997
23,52.0,46.0,90.0,57.0,24.0,2.0,9.0,17.0,29827.0,1.490638,29.931959,7.455543,36.211399,7316.608471999988,78964.80083199996,82314.86320600007,38084.73585100003
24,84.0,93.0,92.0,32.0,27.0,25.0,16.0,2.0,27711.0,1.489546,12.692354,32.160221,65.294312,7321.019205999994,147625.8134959998,44044.80455899995,9726.295499000022
25,89.0,96.0,50.0,66.0,35.0,33.0,6.0,19.0,28795.0,1.489787,12.357994,62.538265,41.115864,7317.2283169999855,149310.31226299977,16944.527628999946,35309.176394000075
26,70.0,93.0,41.0,96.0,15.0,20.0,4.0,20.0,27966.0,1.489754,12.826172,60.685394,39.493603,7313.890506999994,147063.10748499987,17708.33492700001,36812.78707900008
27,79.0,91.0,42.0,49.0,16.0,40.0,3.0,22.0,29641.0,1.490225,13.298288,61.32946,36.566185,7318.735145999987,144564.52849500036,17385.091801999963,39794.11125999997
28,93.0,78.0,51.0,52.0,29.0,33.0,9.0,22.0,25654.0,1.489782,16.086233,38.750404,36.234215,7313.928644999962,126436.55301300003,36203.37482100002,39762.883139000005
29,45.0,67.0,97.0,79.0,11.0,15.0,28.0,30.0,26441.0,1.490935,21.394846,28.931141,26.551374,7319.1690859999935,102771.58262299998,48417.186721,51644.229911999966
30,81.0,96.0,95.0,69.0,9.0,24.0,23.0,11.0,30042.0,1.48996,14.307731,35.441307,53.291267,7315.173173999987,138187.85671399988,41075.42516400002,23202.59570600003
31,92.0,49.0,88.0,55.0,36.0,20.0,18.0,22.0,29423.0,1.489253,27.936813,11.559001,33.594166,7311.906872999984,83445.58240699986,74731.44528099992,42539.83494800006
32,95.0,56.0,50.0,43.0,32.0,14.0,18.0,6.0,27280.0,1.490823,23.986332,10.344854,44.575249,7316.59414499997,93957.71984100025,76453.25183899995,29907.08352199995
33,96.0,14.0,100.0,50.0,24.0,3.0,26.0,9.0,28519.0,1.495577,55.921238,2.715321,16.145683,7330.74192299999,34810.24268499986,93127.42235199998,66495.91445800013
34,53.0,89.0,83.0,100.0,6.0,17.0,11.0,30.0,30514.0,1.493596,15.870434,53.753609,26.63715,7316.284215999989,128008.0223179996,23066.01999600003,51549.98778100005
35,94.0,92.0,78.0,26.0,21.0,28.0,27.0,10.0,25636.0,1.488041,14.979629,30.268116,54.848629,7307.992012999991,133859.7535870002,46979.10307299985,21704.60699100003
36,71.0,100.0,78.0,78.0,18.0,29.0,2.0,8.0,27296.0,1.491039,10.782761,51.512237999999996,60.322151,7321.577153999983,156391.32978199987,25303.17783399995,18683.57658400002
37,67.0,49.0,78.0,72.0,19.0,10.0,18.0,18.0,30183.0,1.489856,27.999283,9.410434,37.131817,7314.181383999988,83487.09107599992,78765.39233499988,37843.20828499989
38,65.0,88.0,82.0,95.0,17.0,22.0,15.0,0.0,28184.0,1.489948,13.919789,24.764956,67.861588,7316.489276999996,140888.74816899988,53800.60672700003,6969.594993999968
39,82.0,67.0,64.0,72.0,32.0,20.0,5.0,28.0,29367.0,1.4904009999999999,19.002954,32.410698,28.639565,7313.885711999995,110177.28326300003,43553.43823299998,48756.56603199998
40,57.0,89.0,96.0,88.0,1.0,12.0,26.0,38.0,30393.0,1.520181,24.23773,31.389748,18.847221,7312.531492000003,94228.77788899986,45505.08500499993,62798.67171899999
41,81.0,80.0,69.0,69.0,20.0,14.0,13.0,10.0,30579.0,1.489342,15.703241,26.70027,55.766209,7312.769915999986,129422.88394199983,50839.60532200004,21902.747138000064
42,99.0,78.0,53.0,86.0,28.0,19.0,4.0,22.0,25727.0,1.49005,16.122398,38.869141,36.274048,7316.2413009999755,126468.00995100026,36175.994891000075,39757.661798
43,66.0,95.0,31.0,51.0,25.0,37.0,3.0,16.0,28347.0,1.48981,12.12786,58.18346,46.232708,7314.7631109999775,150019.90797100036,20364.785210999962,30828.042026000014
44,79.0,94.0,100.0,89.0,15.0,20.0,13.0,16.0,29342.0,1.489665,13.103116,51.088856,45.505848,7316.169795999999,144868.20220700072,26471.20473800003,30769.80114899991
45,42.0,61.0,83.0,96.0,3.0,17.0,3.0,30.0,29867.0,1.4973079999999999,21.464724,27.827375,26.46666,7311.635048999982,101327.9581119996,49368.224122000014,51787.61008699996
46,79.0,73.0,7.0,44.0,20.0,60.0,1.0,12.0,28982.0,1.4909059999999998,17.305813,58.420437,17.496552,7316.527410999982,119444.13186100029,17272.291209999956,65068.731309000126
47,60.0,71.0,99.0,97.0,11.0,16.0,24.0,32.0,27158.0,1.490691,20.523838,33.874825,24.51939,7313.480423999988,105755.9871549999,42556.996371999834,54436.72655199992
48,98.0,51.0,75.0,100.0,8.0,1.0,26.0,39.0,29843.0,1.492804,26.972475,26.066584,17.888935,7314.782166000002,85907.40680099947,51655.759810999916,64389.07627700001
49,88.0,38.0,64.0,57.0,21.0,7.0,21.0,17.0,28258.0,1.4912100000000001,35.82312,4.8377669999999995,30.565395,7316.851659999983,67006.15403399967,87050.42361100027,43766.50813400011
50,82.0,95.0,100.0,63.0,13.0,14.0,17.0,10.0,29056.0,1.489786,12.836525,43.579838,55.098892,7319.645913999967,147227.75460199994,32895.212168,21699.00891200006
51,42.0,83.0,93.0,97.0,3.0,17.0,12.0,20.0,29375.0,1.497123,15.07315,43.17276,39.037975,7312.6507239999655,133466.76830300028,32093.124447999962,36793.41316399998
52,72.0,96.0,100.0,99.0,11.0,25.0,26.0,25.0,27744.0,1.49014,18.616976,31.404356,32.12812,7312.464726999986,113101.90674700038,45490.03602000002,44248.003952000035
53,40.0,97.0,95.0,85.0,10.0,29.0,25.0,20.0,26190.0,1.490464,16.853523,32.639099,38.891376,7310.953176999986,122017.26913699988,44014.32991100004,36767.07266300006
54,41.0,100.0,93.0,15.0,16.0,35.0,25.0,2.0,26489.0,1.489484,12.57215,32.530502,63.265476,7317.624114999973,147731.73328100026,44303.2693730002,9669.361130999989
55,73.0,51.0,32.0,30.0,17.0,27.0,0.0,12.0,26207.0,1.489473,25.42837,22.265884,24.336878,7315.88368099997,90203.30906799991,57299.909560000044,54963.3360059999
56,81.0,94.0,92.0,78.0,20.0,20.0,5.0,8.0,30733.0,1.490142,12.409677,41.582623,58.734348,7320.776039999985,148914.24180300036,33705.983120999845,18697.357174000022
57,86.0,97.0,100.0,100.0,9.0,21.0,22.0,20.0,29851.0,1.4902009999999999,16.134613,36.679394,38.889576,7311.5587419999865,126466.05491600018,39573.960305000066,36784.63461500003
58,45.0,100.0,90.0,63.0,5.0,29.0,28.0,22.0,30217.0,1.5010970000000001,18.271408,28.951307,36.031906,7312.68411,114625.75438200022,48394.37959299994,39748.444537000265
59,95.0,60.0,79.0,73.0,26.0,18.0,29.0,6.0,29145.0,,,,,0.0,0.0,0.0,0.0
60,100.0,94.0,89.0,96.0,26.0,19.0,0.0,25.0,29969.0,1.491221,12.816524,76.675743,32.387337,7321.720136999979,147752.37560200048,9509.940163999994,44253.61633200004
61,73.0,73.0,84.0,98.0,28.0,32.0,7.0,26.0,28372.0,1.48919,17.242271,37.47628,30.946053,7311.835329999973,119043.74600199993,37667.62734099984,45739.25015900007
62,75.0,96.0,90.0,69.0,13.0,28.0,30.0,6.0,29479.0,1.488837,14.778252,26.779301,59.100048,7312.150027999959,135340.03734100025,51312.92820000001,15681.366910000019
63,97.0,93.0,99.0,61.0,23.0,27.0,14.0,3.0,29121.0,,,,,0.0,0.0,0.0,0.0
64,71.0,56.0,100.0,98.0,1.0,15.0,28.0,30.0,28819.0,1.517242,24.017986,22.516018,26.26647,7310.4715499999875,93674.61681399978,56681.251501999875,52060.37995500008
65,82.0,54.0,100.0,97.0,7.0,12.0,23.0,21.0,25578.0,1.49176,24.994394,14.011385,36.024315,7314.057411999973,90964.9943929999,70310.02043200003,40046.02908199997
66,95.0,99.0,78.0,94.0,36.0,21.0,6.0,26.0,28022.0,1.489474,13.823397,62.230183,31.11442,7313.447041999995,140991.1584799996,15586.476321999955,45725.16440200001
67,99.0,92.0,38.0,93.0,19.0,22.0,4.0,22.0,28746.0,1.490038,12.993893,62.10535,36.501244,7321.51036099998,145425.5580680001,16460.242269999937,39816.34618499986
68,64.0,95.0,99.0,83.0,2.0,32.0,31.0,17.0,27214.0,1.5165359999999999,17.701437,25.581072,43.460777,7313.28492499998,117705.44047799992,52715.687741000016,32267.975783000034
69,100.0,100.0,34.0,94.0,21.0,17.0,1.0,17.0,26766.0,1.491347,10.964514,67.573753,44.560486,7325.78279099999,155665.39287400036,12613.16299999996,32316.58935800007
70,82.0,79.0,55.0,59.0,27.0,17.0,17.0,15.0,27050.0,1.489431,15.858442,31.091309,47.568886,7316.346208999982,127873.26809399997,45140.01848400004,29328.61331100001
71,69.0,87.0,53.0,37.0,9.0,44.0,21.0,18.0,30401.0,1.492403,15.51163,38.077343,42.282322,7314.329189999987,130888.87212900014,38093.795771,33756.40868600009
72,77.0,90.0,98.0,54.0,15.0,19.0,13.0,9.0,25627.0,1.488451,13.546468,37.409885,56.791599,7315.5594239999755,143566.8516229998,38040.637972999924,20199.42285900001
73,97.0,78.0,87.0,88.0,9.0,18.0,4.0,20.0,26263.0,1.490831,15.955944,36.207973,39.005192,7315.807370999973,126453.49978400009,39166.364666,36795.61611499988
74,89.0,91.0,78.0,81.0,12.0,20.0,12.0,6.0,30302.0,1.4895369999999999,13.241199,34.832939,63.063122,7313.065565999992,144999.22753500022,40953.45500299995,15695.73405999996
75,95.0,43.0,96.0,85.0,5.0,1.0,27.0,25.0,28852.0,1.493358,31.950626,9.88745,29.079533,7312.8700679999865,74346.3563979999,77839.193336,48014.52162300003
76,84.0,79.0,43.0,100.0,27.0,32.0,11.0,17.0,29753.0,1.48944,15.776007,33.612896,44.168659,7315.10168499998,127944.08320399982,42159.23785800002,32293.586754999895
77,100.0,64.0,54.0,25.0,39.0,20.0,9.0,8.0,25548.0,1.490279,20.329247,12.148277,53.781742,7317.833922999979,105960.81735199991,73631.62038600014,20965.270986000032
78,89.0,68.0,81.0,44.0,5.0,29.0,50.0,9.0,30757.0,1.508276,21.653543,10.211075,54.081535,7314.810774999966,102469.95927000036,76575.73226800018,21635.036411
79,100.0,97.0,49.0,88.0,14.0,21.0,9.0,14.0,30482.0,1.489735,11.918974,56.259598,49.810699,7313.761730999986,151153.4261639999,22333.135588000037,27801.28480499996
80,95.0,44.0,82.0,97.0,24.0,10.0,27.0,32.0,25719.0,1.490071,31.22854,14.691584,23.500837,7316.846887999972,75856.92883599974,69198.44624699993,56116.53805099977
81,96.0,88.0,83.0,90.0,31.0,8.0,26.0,30.0,30191.0,1.489824,20.520091999999998,31.370989,26.604612,7313.542392999978,105743.93750299976,45482.878670999926,51592.41199299993
82,81.0,92.0,77.0,28.0,31.0,23.0,30.0,1.0,25867.0,1.489168,13.641207,26.6576,66.949898,7315.220854999987,142142.60101500023,51579.41817399995,8258.009007999985
83,88.0,85.0,86.0,65.0,23.0,23.0,0.0,4.0,28298.0,1.4884789999999999,14.583361,25.806002,62.826878,7308.654810999979,136719.5701779999,52281.069760999846,12913.227081999934
84,93.0,99.0,100.0,51.0,11.0,19.0,19.0,6.0,26215.0,1.4898419999999999,12.16231,40.942093,60.279015,7317.223606999974,150319.42844800014,35581.88439199996,15664.453491999957
85,84.0,98.0,83.0,72.0,0.0,35.0,31.0,30.0,25679.0,1.5737,22.693754,25.607635,26.625837,7306.575812999993,98493.70480700031,52733.75988399988,51593.54686999991
86,89.0,92.0,64.0,100.0,10.0,17.0,8.0,17.0,25735.0,1.489895,13.019686,53.621223,44.371239,7314.534245999982,145708.4560359996,23742.136917999993,32294.94573599999
87,88.0,55.0,94.0,83.0,8.0,1.0,15.0,24.0,28932.0,1.490133,24.432703,16.851934,32.65921,7312.798541999988,92435.37903700022,65487.956987999896,43918.34736399999
88,92.0,100.0,96.0,93.0,11.0,5.0,7.0,33.0,27380.0,1.490489,15.668109,58.693516,23.518333,7317.633655000001,129495.99743000013,17030.797002999945,55868.82117299984
89,88.0,96.0,40.0,79.0,24.0,31.0,14.0,8.0,29359.0,1.490908,11.985785,44.579563,62.028931,7320.604361999971,150700.1638390008,31778.821929999925,18772.43515999995
90,55.0,52.0,85.0,83.0,21.0,24.0,18.0,33.0,26871.0,1.488763,26.088808,21.778358,23.24811,7309.489274999968,87931.82375600013,57781.75829600004,56489.987389000096
91,96.0,89.0,59.0,80.0,2.0,38.0,10.0,31.0,25964.0,1.515563,15.835797,55.073883,25.60528,7313.885735999997,127976.86580399968,21567.964554999977,53029.2367769999
92,84.0,71.0,60.0,64.0,2.0,33.0,17.0,32.0,29665.0,1.520301,18.328255,41.746464,24.512859,7317.366652999992,114149.82317400009,33882.01712800006,54456.157698000075
93,57.0,98.0,39.0,59.0,19.0,35.0,6.0,1.0,27915.0,1.4915100000000001,11.228675,37.404732,84.030739,7323.9231549999795,154025.4926480006,38396.10574700005,8284.24460099999
94,80.0,85.0,51.0,87.0,8.0,16.0,3.0,22.0,28844.0,1.491369,14.714933,49.855392,36.400841,7316.546475999972,136634.22582999998,25780.372613999953,39772.934926000045
95,78.0,51.0,90.0,98.0,30.0,4.0,9.0,40.0,29713.0,1.489236,26.690611,27.488239,17.039181,7309.217506999983,86438.88000499948,49716.14839800005,65670.8097639999
96,86.0,65.0,89.0,52.0,0.0,15.0,50.0,33.0,26247.0,1.591669,35.467293,10.235187,23.590134,7316.441572999991,67892.86615700027,76633.43908700012,55974.70285399978
97,7.0,41.0,86.0,90.0,3.0,13.0,3.0,47.0,25768.0,5.691316,33.38438,23.03252,11.963688,6813.540474999999,71331.77278999984,55741.710663000005,74118.80492599987
98,55.0,61.0,38.0,56.0,23.0,34.0,10.0,18.0,28282.0,1.489933,21.459377,19.364092,37.005535,7315.58326699999,101339.40699899942,61545.75824300001,39250.34521199985
99,94.0,31.0,55.0,88.0,10.0,14.0,6.0,32.0,27647.0,1.49234,42.028877,8.279523,19.438946,7322.487859999989,56341.919894999955,80680.67073899998,62070.17420599998
100,37.0,90.0,80.0,99.0,10.0,23.0,11.0,33.0,27042.0,1.490926,16.678808,53.458427,23.537771,7317.247387999979,123631.33913500002,23060.455328000036,55857.563031
101,74.0,96.0,82.0,89.0,22.0,36.0,17.0,1.0,26895.0,1.490422,11.851646,34.429623,72.789482,7319.507626999997,151323.53782399985,41491.18425299998,8183.6414760000025
102,69.0,55.0,76.0,59.0,17.0,5.0,16.0,18.0,26060.0,1.489519,24.457624,12.725211,39.658638,7312.736544999981,92454.62895800018,72580.81913700003,35928.99324199993
103,59.0,32.0,93.0,83.0,19.0,3.0,20.0,25.0,30709.0,1.4913189999999998,41.082821,5.13719,24.323084,7320.680630000007,57933.38776199996,86561.41757200011,53320.145608000144
104,66.0,86.0,91.0,57.0,14.0,25.0,39.0,8.0,29769.0,1.4889139999999998,17.323551,17.821123,56.520599,7309.904132999985,119703.2499049995,63505.71154600012,18797.09243100002
105,100.0,99.0,50.0,99.0,16.0,16.0,8.0,16.0,30522.0,1.489857,11.805361,59.779018,46.095425,7317.45725099998,151478.51464300006,19187.71267799992,30785.412780999977
106,90.0,54.0,74.0,44.0,45.0,31.0,0.0,20.0,26505.0,1.489282,24.987568,13.395908,37.085232,7308.788316999987,90963.5067220002,71456.25591099978,38725.81960200011
107,68.0,58.0,71.0,81.0,27.0,15.0,26.0,28.0,30126.0,1.489675,22.921272,22.586687,28.420476999999998,7315.087388999972,96751.48488199984,56487.03100399989,49145.579336999894
108,100.0,91.0,60.0,96.0,28.0,24.0,16.0,26.0,28966.0,1.4892859999999999,16.151211,45.742897,31.014704,7311.39662299999,126488.60457100043,30578.35578699994,45713.725067000065
109,57.0,82.0,57.0,91.0,11.0,24.0,16.0,21.0,27166.0,1.4901339999999998,15.379632,42.30999,37.70488,7316.002883999986,130970.33021100008,33236.336733000004,38266.382229999945
110,91.0,86.0,40.0,98.0,13.0,12.0,7.0,17.0,30259.0,1.489044,14.383778,43.287289,44.389744,7312.612556999988,138069.05747599987,31812.55339499998,32276.268028999937
111,96.0,89.0,84.0,90.0,17.0,18.0,16.0,19.0,29175.0,1.488762,14.534139,45.892578,40.587246,7313.962025999975,136688.7378529998,30676.61282899995,35275.354354000054
112,93.0,95.0,54.0,84.0,21.0,23.0,8.0,15.0,30201.0,1.490639,12.284215,55.715015,47.932487,7319.207226000001,149405.61772799958,22689.628597999934,29284.858678999986
113,99.0,66.0,100.0,92.0,16.0,8.0,26.0,18.0,27768.0,1.489124,19.446878,20.769779,41.874771,7311.453840999974,108631.90649199962,59134.93631899997,34383.015605
114,66.0,74.0,71.0,87.0,15.0,13.0,4.0,28.0,28314.0,1.490267,16.986059,41.52816,28.684418,7312.851015999986,120521.74565999987,33213.15284699995,48684.487338000035
115,85.0,98.0,64.0,24.0,15.0,28.0,7.0,5.0,30741.0,1.490748,11.248259,42.763165,66.513847,7322.101644999984,153941.58844100023,32549.700715000014,14186.162975999918
116,98.0,97.0,86.0,59.0,27.0,25.0,26.0,13.0,29276.0,1.489255,15.408239,31.41684,49.942455,7313.342119999988,130948.64366899991,45488.905907,26208.08127600003
117,75.0,22.0,84.0,47.0,30.0,6.0,47.0,10.0,28471.0,1.493984,49.969284,2.78361,20.87612,7331.380882999975,45344.09046299999,92760.95391599993,56963.58681400003
118,19.0,98.0,82.0,97.0,12.0,7.0,17.0,36.0,28900.0,1.490754,19.288755,44.049824,20.60675,7315.864587999996,110369.47253999984,32084.937079999992,60066.666578999764
119,100.0,58.0,71.0,43.0,22.0,5.0,18.0,3.0,28884.0,1.492257,23.054668,6.623613,46.41761,7322.640462999987,97098.74631500008,83885.1928509999,17695.37450500002
120,15.0,100.0,99.0,76.0,4.0,36.0,37.0,18.0,30288.0,1.5274510000000001,19.972229,19.622908,41.93932,7314.534205999994,107740.84569000022,60912.72354999996,33765.82147999991
121,73.0,86.0,94.0,80.0,14.0,28.0,12.0,19.0,27190.0,1.489298,14.416801,46.329941,40.55587,7310.028125999988,137449.20728500016,29516.778023000043,35273.18954100006
122,72.0,92.0,66.0,95.0,13.0,17.0,11.0,19.0,28990.0,1.489519,13.530676,54.338047,40.875618,7315.602341999986,143186.13531999994,23712.873482000017,35276.61800000001
123,93.0,63.0,98.0,95.0,40.0,5.0,12.0,36.0,29191.0,1.4905089999999999,20.662388,37.181755,20.585831,7314.944290999998,104192.1425189998,37907.11881000013,60100.79855500009
124,48.0,93.0,21.0,21.0,1.0,44.0,11.0,12.0,26481.0,1.512945,12.81932,46.812393,53.579567,7315.630957999967,147262.2537640001,29457.588184999964,24854.6076
125,70.0,93.0,99.0,84.0,20.0,21.0,5.0,12.0,27313.0,1.490098,12.687932,46.658085,52.225853,7319.798500999975,147602.9443990003,29116.420781000084,24726.471912999994
126,69.0,82.0,31.0,88.0,11.0,34.0,32.0,0.0,27874.0,1.490001,15.284734,25.597095,61.876045,7314.033550999979,132208.6048020001,52724.4186250002,17168.707856999958
127,92.0,55.0,70.0,57.0,27.0,7.0,15.0,2.0,26513.0,1.493488,24.589853,5.215374,41.965927,7329.096816999978,92773.45656400005,86499.39057500006,18610.138903000025
128,18.0,100.0,100.0,98.0,2.0,24.0,25.0,13.0,29737.0,1.5048400000000002,15.286923,32.669998,49.893738,7311.415747999966,132378.65924600008,44039.75481399998,26228.761643000045
129,86.0,77.0,88.0,77.0,12.0,8.0,28.0,16.0,27776.0,1.489727,16.830338,28.026747,45.337215,7315.154113999977,122324.62882099979,49395.99036299992,30869.22644399994
130,31.0,96.0,92.0,82.0,6.0,16.0,19.0,11.0,26417.0,1.4909810000000001,13.366511,41.417133,53.861267,7313.303974999993,143742.53747,35244.20735099995,23192.758542000007
131,91.0,90.0,99.0,60.0,18.0,21.0,27.0,4.0,28006.0,1.489479,13.718088,29.333683,61.087341,7316.2079399999875,141260.55238900025,48043.704056999915,12738.580690999976
132,97.0,86.0,98.0,84.0,1.0,15.0,19.0,16.0,29985.0,1.502791,14.680509,39.942436,45.34222,7309.060115999994,135596.80939799975,36168.637276999914,30773.310653000077
133,88.0,41.0,78.0,71.0,22.0,5.0,13.0,14.0,29956.0,1.491932,33.447598,4.592623,33.788445,7323.889767999991,71654.67262299983,87670.06397600015,38253.43134100011
134,88.0,61.0,71.0,22.0,25.0,10.0,13.0,3.0,25470.0,1.4917880000000001,21.646513,8.003098,50.742714,7319.450416999974,101733.50812300004,81468.97793400008,16074.662195000003
135,82.0,46.0,68.0,60.0,5.0,18.0,21.0,23.0,29689.0,1.49639,29.883162,10.398539,31.779949,7313.361200999983,78899.68397600007,76847.02398100003,44647.52671399988
136,81.0,90.0,82.0,84.0,40.0,3.0,31.0,23.0,25558.0,1.489553,19.662046,25.594997,34.651779,7313.208598999995,108775.59665899964,52744.52213100009,41253.76704199999
137,70.0,60.0,49.0,90.0,24.0,30.0,1.0,17.0,29681.0,1.489444,21.945055,15.477696,42.306358,7311.420474999988,99867.00532799993,67912.43077900009,33673.09567900001
138,98.0,61.0,95.0,73.0,21.0,0.0,22.0,17.0,25792.0,1.489116,21.486446,16.14764,42.488697,7310.767197999999,101333.57524300012,66734.39504699991,33505.978581999974
139,58.0,42.0,73.0,92.0,14.0,9.0,16.0,12.0,28713.0,1.491338,32.721302,4.384761,34.832077,7319.4694849999905,73170.21846400008,88200.14951599986,35988.00184000001
140,72.0,94.0,91.0,33.0,16.0,25.0,24.0,6.0,28511.0,1.488708,13.432628,34.048374,60.595387,7313.02264899998,143703.44640599992,42737.03097900007,15674.223917999974
141,74.0,60.0,97.0,52.0,24.0,15.0,3.0,33.0,25988.0,1.4908000000000001,21.897951,29.999807,23.500383,7320.060744999974,99855.5564799997,46531.65814499999,56039.748200999944
142,91.0,82.0,72.0,77.0,15.0,18.0,7.0,21.0,25875.0,1.489304,15.216788,43.097919,37.658787,7311.019957999973,132302.5179129998,31783.404346000087,38262.91560700011
143,100.0,87.0,80.0,53.0,35.0,25.0,17.0,10.0,28835.0,1.489125,14.197742,34.703255,55.814716,7310.16639599997,139305.62973699995,41002.39752100001,21731.300337999943
144,82.0,85.0,46.0,63.0,11.0,32.0,16.0,11.0,29022.0,1.489574,14.587432,33.508862,55.268223,7308.163697999983,136606.97937100046,42293.96816099996,23241.100340000023
145,85.0,89.0,62.0,44.0,31.0,11.0,35.0,14.0,26271.0,1.48888,17.929289,21.513315,48.340378,7315.859801999996,116448.06863099996,58287.25814499994,27735.352533000085
146,60.0,95.0,79.0,94.0,18.0,11.0,21.0,29.0,25776.0,1.490418,18.29361,38.137344,27.701023,7316.012407999974,114585.89554999999,38083.891859999894,50137.57228099995
147,97.0,90.0,92.0,86.0,28.0,13.0,28.0,5.0,30084.0,1.489212,14.158891,28.961052,60.732677,7314.672528000008,139358.5395810001,48678.71761500009,14211.382859999994
148,98.0,82.0,98.0,47.0,35.0,20.0,28.0,4.0,26028.0,1.4893079999999999,15.299103,22.662628,61.053829,7314.753558999995,132123.73734300013,56672.902112000134,13093.104362999988
149,55.0,80.0,86.0,74.0,22.0,19.0,4.0,7.0,28754.0,1.48925,15.693226,23.751751,59.280136,7314.624812999986,129446.02014799938,55018.09119000007,17541.117664
150,58.0,70.0,93.0,90.0,14.0,7.0,32.0,31.0,25481.0,1.489203,23.71833,24.530041,25.561888,7312.383688999974,95550.80889299998,54163.27002500014,53061.64266399995
