,ar-0,ar-1,ar-2,ar-3,pr-0,pr-1,pr-2,pr-3,n-class-0-latency,n-class-1-bw,n-class-2-bw
25,35.0,33.0,6.0,19.0,89.0,96.0,50.0,66.0,0.21479580638037518,0.6941334288602945,0.057624543455882374
26,15.0,20.0,4.0,20.0,70.0,93.0,41.0,96.0,0.21480056438848294,0.6827336022610301,0.061586060863970615
27,16.0,40.0,3.0,22.0,79.0,91.0,42.0,49.0,0.21473267459611806,0.6700734883639701,0.06004510566176471
28,29.0,33.0,9.0,22.0,93.0,78.0,51.0,52.0,0.21479652727714527,0.5812184777205883,0.1525949903676471
29,11.0,15.0,28.0,30.0,45.0,67.0,97.0,79.0,0.214630416483616,0.46562499880514663,0.21325744237132346
30,9.0,24.0,23.0,11.0,81.0,96.0,95.0,69.0,0.21477086633198209,0.6377619855514706,0.17638337972426474
31,36.0,20.0,18.0,22.0,92.0,49.0,88.0,55.0,0.21487282550379286,0.3714201206617649,0.3517938011397057
32,32.0,14.0,18.0,6.0,95.0,56.0,50.0,43.0,0.21464654087037832,0.422502090220588,0.36116479073529395
33,24.0,3.0,26.0,9.0,96.0,14.0,100.0,50.0,0.21396424256323815,0.13527712398897052,0.45738413042279397
34,6.0,17.0,11.0,30.0,53.0,89.0,83.0,100.0,0.2142480295876529,0.588432217408088,0.08767361167279411
35,21.0,28.0,27.0,10.0,94.0,92.0,78.0,26.0,0.21504783806360175,0.6167107643933819,0.20588180602941183
36,18.0,29.0,2.0,8.0,71.0,100.0,78.0,78.0,0.21461544600778384,0.7323248421139703,0.09831444299632353
37,19.0,10.0,18.0,18.0,67.0,49.0,78.0,72.0,0.21478585849907642,0.3715012879227941,0.37435696406249996
38,17.0,22.0,15.0,0.0,65.0,88.0,82.0,95.0,0.21477259609060181,0.651333349577206,0.24037878306985289
39,32.0,20.0,5.0,28.0,82.0,67.0,64.0,72.0,0.21470731702407608,0.5025612956617653,0.18906190123161762
40,1.0,12.0,26.0,38.0,57.0,89.0,96.0,88.0,0.21050124952226085,0.42363887325367655,0.1986091627205883
41,20.0,14.0,13.0,10.0,81.0,80.0,69.0,69.0,0.21485998514780355,0.5954729283639705,0.22556992154411776
42,28.0,19.0,4.0,22.0,99.0,78.0,53.0,86.0,0.21475789403040166,0.5814808256433824,0.152350348492647
43,25.0,37.0,3.0,16.0,66.0,95.0,31.0,51.0,0.21479249031755726,0.6981178243198536,0.07439141766544119
44,15.0,20.0,13.0,16.0,79.0,94.0,100.0,89.0,0.21481339764309426,0.6714826999264707,0.10428805556985296
45,3.0,17.0,3.0,30.0,42.0,61.0,83.0,96.0,0.21371688390097432,0.4590861060477938,0.2182736991911765
46,20.0,60.0,1.0,12.0,79.0,73.0,7.0,44.0,0.21463459131561616,0.5472355902941176,0.05946089233455888
47,11.0,16.0,24.0,32.0,60.0,71.0,99.0,97.0,0.21466554772249916,0.48016984683823555,0.18395448443014684
48,8.0,1.0,26.0,39.0,98.0,51.0,75.0,100.0,0.21436169785182785,0.38340030349264725,0.22995971595588238
49,21.0,7.0,21.0,17.0,88.0,38.0,64.0,57.0,0.21459083563012585,0.29176929413602937,0.42250717395220616
50,13.0,14.0,17.0,10.0,82.0,95.0,100.0,63.0,0.21479595055934209,0.6833042292463225,0.13590542711397052
51,3.0,17.0,12.0,20.0,42.0,83.0,93.0,97.0,0.21374329296924835,0.6151812044485289,0.13224570200367639
52,11.0,25.0,26.0,25.0,72.0,96.0,100.0,99.0,0.21474492329579772,0.5161645658823528,0.1985556939338236
53,10.0,29.0,25.0,20.0,40.0,97.0,95.0,85.0,0.21469824162140114,0.5595193189338231,0.1912362434191175
54,16.0,35.0,25.0,2.0,41.0,100.0,93.0,15.0,0.21483950146493686,0.6856478312132348,0.19232131093749993
55,17.0,27.0,0.0,12.0,73.0,51.0,32.0,30.0,0.21484108808954577,0.40433634729779444,0.25818426814338225
56,20.0,20.0,5.0,8.0,81.0,94.0,92.0,78.0,0.21474463507504654,0.692310491139706,0.1399905364338236
57,9.0,21.0,22.0,20.0,86.0,97.0,100.0,100.0,0.2147361329109295,0.5810967261764709,0.16892762751838225
58,5.0,29.0,28.0,22.0,45.0,100.0,90.0,63.0,0.21317742957317215,0.523476653308824,0.21319590946691172
59,26.0,18.0,29.0,6.0,95.0,60.0,79.0,73.0,,0.0,0.0
60,26.0,19.0,0.0,25.0,100.0,94.0,89.0,96.0,0.21458925269963341,0.6860639242830879,0.022180729025735306
61,28.0,32.0,7.0,26.0,73.0,73.0,84.0,98.0,0.2148819156722782,0.5453378839338235,0.15986649437500008
62,13.0,28.0,30.0,6.0,75.0,96.0,90.0,69.0,0.21493286370502615,0.6238624450551475,0.22764582854779417
63,23.0,27.0,14.0,3.0,97.0,93.0,99.0,61.0,,0.0,0.0
64,1.0,15.0,28.0,30.0,71.0,56.0,100.0,98.0,0.21090900462813447,0.4213319104595587,0.25528993674632355
65,7.0,12.0,23.0,21.0,82.0,54.0,100.0,97.0,0.2145117177025795,0.40805506354779414,0.3276897705330882
66,36.0,21.0,6.0,26.0,95.0,99.0,78.0,94.0,0.21484094384997657,0.6518548901102938,0.05094873555147058
67,19.0,22.0,4.0,22.0,99.0,92.0,38.0,93.0,0.21475962358006978,0.6743169883455884,0.0555797534742647
68,2.0,32.0,31.0,17.0,64.0,95.0,99.0,83.0,0.21100719007000165,0.5384094574264706,0.23501208602941165
69,21.0,17.0,1.0,17.0,100.0,100.0,34.0,94.0,0.21457112261599748,0.7279621326838233,0.036640640661764666
70,27.0,17.0,17.0,15.0,82.0,79.0,55.0,59.0,0.2148471463263488,0.5881908186213235,0.19705733819852936
71,9.0,44.0,21.0,18.0,69.0,87.0,53.0,37.0,0.21441929559241038,0.602413976930147,0.16166208402573523
72,15.0,19.0,13.0,9.0,77.0,90.0,98.0,54.0,0.2149886022448841,0.6649232963419107,0.16139526577205887
73,9.0,18.0,4.0,20.0,97.0,78.0,87.0,88.0,0.2146453890481215,0.5813579348161768,0.16712134374999998
74,12.0,20.0,12.0,6.0,89.0,91.0,78.0,81.0,0.21483185714755662,0.6722712341544117,0.17585482659926474
75,5.0,1.0,27.0,25.0,95.0,43.0,96.0,85.0,0.21428217480336265,0.3274085766911762,0.36911175522058826
76,27.0,32.0,11.0,17.0,84.0,79.0,43.0,100.0,0.21484584810398538,0.5884526407352937,0.18200348402573535
77,39.0,20.0,9.0,8.0,100.0,64.0,54.0,25.0,0.2147248937950545,0.48125298586397053,0.34578240976102936
78,5.0,29.0,50.0,9.0,89.0,68.0,81.0,44.0,0.21216276066184175,0.4633645799448531,0.36226037667279404
79,14.0,21.0,9.0,14.0,100.0,97.0,49.0,88.0,0.21480330394331879,0.7036880533823532,0.08407138727941174
80,24.0,10.0,27.0,32.0,95.0,44.0,82.0,97.0,0.21475486738551386,0.33464387930147066,0.3215202512500001
81,31.0,8.0,26.0,30.0,96.0,88.0,83.0,90.0,0.21479047189466674,0.48016292222426454,0.1985689295955881
82,31.0,23.0,30.0,1.0,81.0,92.0,77.0,28.0,0.2148850901980166,0.6573020536397056,0.2289411775735294
83,23.0,23.0,0.0,4.0,88.0,85.0,86.0,65.0,0.21498455806229044,0.6309533818566175,0.23265691367647073
84,11.0,19.0,19.0,6.0,93.0,99.0,100.0,51.0,0.21478787683526174,0.6993048330514715,0.14883796957720594
85,0.0,35.0,31.0,30.0,84.0,98.0,83.0,72.0,0.2033424413801868,0.4445087382904411,0.2348778003124999
86,10.0,17.0,8.0,17.0,89.0,92.0,64.0,100.0,0.214780236191141,0.675765644025736,0.09113129443014709
87,8.0,1.0,15.0,24.0,88.0,55.0,94.0,83.0,0.21474593207451953,0.4153137697977943,0.30161659501838245
88,11.0,5.0,7.0,33.0,92.0,100.0,96.0,93.0,0.21469464048376072,0.5956860151470588,0.058110584117647086
89,24.0,31.0,14.0,8.0,88.0,96.0,40.0,79.0,0.2146343033909537,0.7014797014889709,0.13044897259191168
90,21.0,24.0,18.0,33.0,55.0,52.0,85.0,83.0,0.21494354709245192,0.39328512022058804,0.2610078628492647
91,2.0,38.0,10.0,31.0,96.0,89.0,59.0,80.0,0.21114265787697378,0.58829197117647,0.08040692897058817
92,2.0,33.0,17.0,32.0,84.0,71.0,60.0,64.0,0.2104846342928144,0.5213066060294117,0.1413654754963235
93,19.0,35.0,6.0,1.0,57.0,98.0,39.0,59.0,0.2145476731634384,0.7193048209926466,0.16283953882352942
94,8.0,16.0,3.0,22.0,80.0,85.0,51.0,87.0,0.2145679573599827,0.6307314421874998,0.1012624187683824
95,30.0,4.0,9.0,40.0,78.0,51.0,90.0,98.0,0.21487527833063397,0.3860180869117644,0.22021418126838235
96,0.0,15.0,50.0,33.0,86.0,65.0,89.0,52.0,0.20104682569051732,0.29483183341911756,0.36213801191176503
97,3.0,13.0,3.0,47.0,7.0,41.0,86.0,90.0,0.05622601169922739,0.3129379714705883,0.2508459721507353
98,23.0,34.0,10.0,18.0,55.0,61.0,38.0,56.0,0.21477475832805906,0.4590493794852937,0.2803224852205882
99,10.0,14.0,6.0,32.0,94.0,31.0,55.0,88.0,0.21442834742752992,0.2400672611213235,0.3841197666911765
100,10.0,23.0,11.0,33.0,37.0,90.0,80.0,99.0,0.21463171210375298,0.5671843009926472,0.08768018571691179
101,22.0,36.0,17.0,1.0,74.0,96.0,82.0,89.0,0.21470429180460301,0.705024775257353,0.17822858167279415
102,17.0,5.0,16.0,18.0,69.0,55.0,76.0,59.0,0.21483445326981396,0.41521866527573525,0.3400359084742647
103,19.0,3.0,20.0,25.0,59.0,32.0,93.0,83.0,0.21457515125871798,0.2477510887132353,0.4195188774632353
104,14.0,25.0,39.0,8.0,66.0,86.0,91.0,57.0,0.2149217483346923,0.5476630786213236,0.29089380726102954
105,16.0,16.0,8.0,16.0,100.0,99.0,50.0,99.0,0.21478571433365753,0.7055263309374995,0.06838721398897062
106,45.0,31.0,0.0,20.0,90.0,54.0,74.0,44.0,0.21486864139900974,0.40811922615808816,0.3338045933823531
107,27.0,15.0,26.0,28.0,68.0,58.0,71.0,81.0,0.21481195562790542,0.4365375810110303,0.25443688919117674
108,28.0,24.0,16.0,26.0,100.0,91.0,60.0,96.0,0.21486806429389657,0.5810642069301464,0.1246133270404411
109,11.0,24.0,16.0,21.0,57.0,82.0,57.0,91.0,0.2147457879626933,0.6031631545955878,0.13800403643382353
110,13.0,12.0,7.0,17.0,91.0,86.0,40.0,98.0,0.2149029847338292,0.6375699358639709,0.13084867419117652
111,17.0,18.0,16.0,19.0,96.0,89.0,84.0,90.0,0.21494369146982528,0.6304029155698535,0.1250301213786764
112,21.0,23.0,8.0,15.0,93.0,95.0,54.0,84.0,0.21467303619454475,0.6944978063051476,0.08585768586397062
113,16.0,8.0,26.0,18.0,99.0,66.0,100.0,92.0,0.21489143953089201,0.49474107874999973,0.26823808170955876
114,15.0,13.0,4.0,28.0,66.0,74.0,71.0,87.0,0.21472662281322744,0.5525986060110292,0.1378407373897059
115,15.0,28.0,7.0,5.0,85.0,98.0,64.0,24.0,0.21465733980525215,0.7189216860110293,0.13395565395220585
116,27.0,25.0,26.0,13.0,98.0,97.0,86.0,59.0,0.21487253693961075,0.6025487884742653,0.1985667383272059
117,30.0,6.0,47.0,10.0,75.0,22.0,84.0,47.0,0.2141923876025446,0.18632753803308819,0.4557956667095587
118,12.0,7.0,17.0,36.0,19.0,98.0,82.0,97.0,0.21465647585047568,0.5029458334375004,0.13210168641544126
119,22.0,5.0,18.0,3.0,100.0,58.0,71.0,43.0,0.2144402740278652,0.43752885928308816,0.40339503216911793
120,4.0,36.0,37.0,18.0,15.0,100.0,99.0,76.0,0.2094993554621392,0.48960166836397045,0.2773321726838237
121,14.0,28.0,12.0,19.0,73.0,86.0,94.0,80.0,0.21486633299715704,0.6344923201102942,0.1196251195588235
122,13.0,17.0,11.0,19.0,72.0,92.0,66.0,95.0,0.21483445326981396,0.6628717571874992,0.09085658709558818
123,40.0,5.0,12.0,36.0,93.0,63.0,98.0,95.0,0.21469175966062604,0.47308460751838205,0.16125221472426468
124,1.0,44.0,11.0,12.0,48.0,93.0,21.0,21.0,0.21150801912825648,0.6837110308823533,0.11910208884191174
125,20.0,21.0,5.0,12.0,70.0,93.0,99.0,84.0,0.21475097611029612,0.6855169640625005,0.11757734948529402
126,11.0,34.0,32.0,0.0,69.0,82.0,31.0,88.0,0.21476495653358624,0.6087644135294118,0.23487210268382325
127,27.0,7.0,15.0,2.0,92.0,55.0,70.0,57.0,0.21426352270657684,0.41628217003676454,0.4189287038602941
128,2.0,24.0,25.0,13.0,18.0,100.0,100.0,98.0,0.2126471917280242,0.6093789549816172,0.19126937658088244
129,12.0,8.0,28.0,16.0,86.0,77.0,88.0,77.0,0.21480445746099788,0.5610539633639705,0.21841692579044097
130,6.0,16.0,19.0,11.0,31.0,96.0,92.0,82.0,0.21462379466941564,0.6655093500735295,0.14749362167279415
131,18.0,21.0,27.0,4.0,91.0,90.0,99.0,60.0,0.21484022265503575,0.6530159536397053,0.2114437958639707
132,1.0,15.0,19.0,16.0,97.0,86.0,98.0,84.0,0.21293712831657896,0.6251804970955889,0.15232449073529408
133,22.0,5.0,13.0,14.0,88.0,41.0,78.0,71.0,0.21448698734258667,0.3141460173713239,0.42617303485294106
134,25.0,10.0,13.0,3.0,88.0,61.0,71.0,22.0,0.21450769144141124,0.46020930316176506,0.38953274487132333
135,5.0,18.0,21.0,23.0,82.0,46.0,68.0,60.0,0.21384799417264214,0.34949770751838255,0.3635289038602942
136,40.0,3.0,31.0,23.0,81.0,90.0,82.0,84.0,0.21482954953600175,0.4949461013419117,0.2350200624632353
137,24.0,30.0,1.0,17.0,70.0,60.0,49.0,90.0,0.21484527112130433,0.45171493985294103,0.3146610716911764
138,21.0,0.0,22.0,17.0,98.0,61.0,95.0,73.0,0.21489259399536367,0.4587737953308825,0.3082867054779413
139,14.0,9.0,16.0,12.0,58.0,42.0,73.0,92.0,0.21457241752037431,0.3215954582536763,0.42947057417279405
140,16.0,25.0,24.0,6.0,72.0,94.0,91.0,33.0,0.21495148813602133,0.6652330651286771,0.18450679148897056
141,24.0,15.0,3.0,33.0,74.0,60.0,97.0,52.0,0.21464985242822643,0.45184002207720647,0.20405220639705882
142,15.0,18.0,7.0,21.0,91.0,82.0,72.0,77.0,0.2148654673592497,0.6095176232352946,0.13075330659926473
143,35.0,25.0,17.0,10.0,100.0,87.0,80.0,53.0,0.2148912952237052,0.6437349846691173,0.17629099253676472
144,11.0,32.0,16.0,11.0,82.0,85.0,46.0,63.0,0.21482652087106785,0.6304578745220583,0.1827540641727941
145,31.0,11.0,35.0,14.0,85.0,89.0,62.0,44.0,0.21492665627854496,0.5320380716360299,0.2634397324080884
146,18.0,11.0,21.0,29.0,60.0,95.0,79.0,94.0,0.21470486803031097,0.5233043258455877,0.161549711875
147,28.0,13.0,28.0,5.0,97.0,90.0,92.0,86.0,0.21487874124033382,0.6435817657536769,0.21434838292279426
148,35.0,20.0,28.0,4.0,98.0,82.0,98.0,47.0,0.21486489027118638,0.6083136972977938,0.2551880829595588
149,22.0,19.0,4.0,7.0,55.0,80.0,86.0,74.0,0.21487325835151924,0.5956250955330886,0.24668907406249987
150,14.0,7.0,32.0,31.0,58.0,70.0,93.0,90.0,0.2148800398602474,0.43003857143382346,0.24215210880514706
151,22.0,6.0,17.0,17.0,100.0,58.0,100.0,77.0,0.2149465790580235,0.437060787408088,0.327759805882353
152,40.0,11.0,11.0,35.0,100.0,59.0,76.0,85.0,0.21470443586074003,0.4444164387316181,0.1972187968014705
153,26.0,27.0,2.0,16.0,83.0,87.0,96.0,68.0,0.21486258194993166,0.6448939441727946,0.13078486209558818
154,22.0,22.0,8.0,22.0,95.0,76.0,98.0,82.0,0.21480330394331879,0.5672306697610296,0.16721241617647067
155,11.0,20.0,18.0,0.0,55.0,90.0,95.0,65.0,0.2147277755074789,0.6654138074448528,0.226517196875
156,2.0,37.0,9.0,14.0,41.0,74.0,100.0,37.0,0.21282666398859781,0.552872173713235,0.2394916381066176
157,22.0,35.0,17.0,19.0,66.0,97.0,79.0,59.0,0.2149761813109113,0.6236072847977943,0.13211527295955888
158,9.0,27.0,14.0,27.0,73.0,82.0,77.0,99.0,0.2146527321268061,0.5872207528125001,0.1109903347977942
159,16.0,20.0,3.0,24.0,75.0,66.0,50.0,100.0,0.21477778553364227,0.4954459912132348,0.22507309919117643
160,29.0,15.0,26.0,13.0,100.0,77.0,99.0,69.0,0.21489923240680422,0.5716247592095594,0.22841963694852946
161,26.0,3.0,25.0,18.0,100.0,63.0,96.0,70.0,0.2148605622095186,0.47304560170955934,0.28825358435661774
162,31.0,2.0,36.0,15.0,93.0,12.0,83.0,52.0,0.21389001775287148,0.12184661981617648,0.45557048387867655
163,3.0,8.0,37.0,42.0,74.0,68.0,86.0,98.0,0.21047162086168397,0.3176762778308824,0.2773750354963233
164,36.0,32.0,19.0,2.0,79.0,75.0,29.0,47.0,0.21480042020332205,0.5599575010477946,0.22033268920955887
165,19.0,24.0,11.0,24.0,50.0,69.0,88.0,77.0,0.21473930313069775,0.5169361830882351,0.2037585658455883
166,15.0,15.0,16.0,1.0,73.0,93.0,99.0,75.0,0.21475169670617877,0.6856871001102935,0.19861082816176467
167,13.0,32.0,16.0,4.0,100.0,100.0,83.0,85.0,0.2148283957488146,0.7237524670404415,0.13720743775735292
168,23.0,21.0,24.0,27.0,97.0,81.0,98.0,98.0,0.2148027271891251,0.5162907874816182,0.18373236926470587
169,14.0,22.0,12.0,18.0,68.0,93.0,85.0,89.0,0.21488090561557674,0.6644928279595586,0.09678014917279414
170,51.0,13.0,5.0,5.0,98.0,98.0,53.0,26.0,0.2146662677451858,0.7188184296507346,0.13429811749999998
171,31.0,9.0,7.0,41.0,96.0,50.0,79.0,94.0,0.21486128354102138,0.3788168816911762,0.22074334777573545
172,9.0,20.0,15.0,7.0,85.0,92.0,66.0,40.0,0.21470069046400173,0.6778787164154413,0.1623863683639707
173,38.0,23.0,31.0,4.0,97.0,76.0,80.0,69.0,0.21489576883662148,0.566332830974264,0.2953149815992647
174,9.0,17.0,17.0,11.0,88.0,85.0,97.0,64.0,0.21475789403040166,0.6301289096323531,0.182985733547794
175,26.0,2.0,58.0,4.0,43.0,90.0,97.0,44.0,0.21486907422987903,0.4662615413970588,0.4045756423529412
176,12.0,16.0,42.0,17.0,56.0,55.0,100.0,79.0,0.2147065967259928,0.4138437264889706,0.34743345836397077
177,12.0,26.0,5.0,5.0,95.0,100.0,37.0,48.0,0.21455529726971678,0.7319776450551472,0.1201255354963235
178,2.0,42.0,3.0,38.0,25.0,95.0,54.0,80.0,0.2104417237544645,0.5896746233639707,0.029121251838235284
179,39.0,20.0,9.0,6.0,90.0,93.0,25.0,86.0,0.21468801470612903,0.6857998231249993,0.16039495955882357
180,50.0,17.0,15.0,10.0,95.0,86.0,40.0,29.0,0.2149207379034885,0.6375487237500002,0.18285530452205886
181,21.0,43.0,4.0,28.0,97.0,90.0,70.0,81.0,0.21475890293098923,0.6489907117830888,0.03917541577205883
182,30.0,25.0,5.0,8.0,99.0,64.0,38.0,72.0,0.2149309870033919,0.4807751846323528,0.2834672437867647
183,3.0,0.0,39.0,49.0,76.0,61.0,95.0,92.0,0.21010444817379842,0.2603518612683827,0.2911014591911766
184,41.0,38.0,8.0,0.0,57.0,74.0,33.0,39.0,0.21492737805389978,0.5528927726102946,0.2488571930882354
185,32.0,27.0,11.0,25.0,72.0,67.0,22.0,54.0,0.21470918982171086,0.5028377558823531,0.16826575308823535
186,20.0,18.0,32.0,17.0,94.0,91.0,92.0,79.0,0.21492737805389978,0.5312721520404404,0.24216771121323521
187,20.0,18.0,6.0,35.0,42.0,90.0,41.0,91.0,0.21481426286150052,0.588713761672794,0.050823916562499995
188,19.0,10.0,15.0,18.0,93.0,70.0,83.0,80.0,0.21489071799689619,0.5239390275183821,0.23973777018382353
189,31.0,16.0,23.0,2.0,99.0,56.0,47.0,39.0,0.21456695025265257,0.42267047305147004,0.3432692849632353
190,0.0,11.0,7.0,31.0,57.0,50.0,65.0,84.0,0.21225226181316495,0.3788084667279407,0.2883817342463235
191,25.0,30.0,7.0,14.0,97.0,88.0,30.0,86.0,0.21482392494052063,0.6514772773161764,0.13833387812500006
192,3.0,20.0,18.0,19.0,59.0,74.0,87.0,91.0,0.2134241097213348,0.5523182889154413,0.20427817818014724
193,9.0,17.0,11.0,22.0,60.0,85.0,98.0,55.0,0.21476092076060263,0.6259719238419118,0.10640147860294119
194,35.0,27.0,8.0,8.0,88.0,71.0,21.0,51.0,0.21486763146709606,0.5315558000183822,0.1615647883088234
195,37.0,28.0,14.0,11.0,100.0,81.0,63.0,44.0,0.21485623432220916,0.6026487139522059,0.2112570931801471
196,4.0,20.0,20.0,16.0,77.0,87.0,92.0,71.0,0.2139661024202241,0.6227203151286764,0.15526764544117655
197,21.0,8.0,9.0,12.0,76.0,36.0,45.0,93.0,0.214735412419491,0.2767630358455881,0.33149543924632346
198,46.0,1.0,0.0,1.0,99.0,40.0,14.0,64.0,0.2149493223386755,0.3408551218014708,0.14450585110294126
199,43.0,10.0,23.0,15.0,98.0,30.0,64.0,29.0,0.21472316480472606,0.25375616893382347,0.4271643125735296
200,27.0,3.0,24.0,14.0,99.0,40.0,96.0,68.0,0.21453444015226583,0.30689660244485295,0.429543326930147
201,18.0,18.0,0.0,16.0,100.0,99.0,58.0,100.0,0.21460824940697704,0.7241917883272052,0.0474549390992647
202,11.0,34.0,29.0,17.0,52.0,67.0,56.0,95.0,0.21458666250010897,0.5015900029963238,0.2685809835661765
203,10.0,12.0,39.0,31.0,85.0,98.0,100.0,92.0,0.21448986267286543,0.3813011679963237,0.2912220709191175
204,8.0,19.0,14.0,11.0,78.0,100.0,81.0,68.0,0.21470688484464617,0.6992608310110289,0.111603386194853
205,21.0,1.0,28.0,17.0,94.0,9.0,92.0,95.0,0.2134756504336224,0.09176660994485292,0.4571536009191175
206,26.0,35.0,17.0,6.0,80.0,61.0,83.0,77.0,0.21464294146686988,0.45902010284926464,0.3742293400367646
207,5.0,11.0,42.0,9.0,51.0,38.0,65.0,30.0,0.2137407231516604,0.3018175852941175,0.43010089318014727
208,0.0,14.0,18.0,29.0,82.0,79.0,73.0,95.0,0.21125486711408686,0.5448834862132349,0.13946373676470583
209,31.0,1.0,45.0,6.0,89.0,78.0,99.0,54.0,0.21493315243126337,0.5200735787316176,0.3310956499448531
210,7.0,38.0,18.0,19.0,77.0,83.0,82.0,53.0,0.21414408283093125,0.6077151965073532,0.14826567735294116
211,0.0,42.0,23.0,21.0,56.0,100.0,81.0,76.0,0.20747345312331836,0.5665645004044116,0.1764790976654412
212,8.0,10.0,0.0,40.0,73.0,26.0,46.0,96.0,0.21434977999004612,0.2074111031066179,0.33981221562499997
213,15.0,22.0,21.0,8.0,72.0,90.0,80.0,68.0,0.2147672627576788,0.658846953088235,0.1755372565625001
214,1.0,19.0,30.0,16.0,31.0,76.0,92.0,46.0,0.21187492758181187,0.5493377940257351,0.2303531066176469
215,16.0,17.0,18.0,6.0,79.0,99.0,93.0,60.0,0.21483632828602234,0.7047441951286761,0.14260595338235288
216,10.0,18.0,13.0,16.0,90.0,98.0,96.0,96.0,0.21480344813235117,0.6727928622977938,0.10320333871323524
217,5.0,37.0,5.0,23.0,32.0,81.0,86.0,58.0,0.21390946281986148,0.6025888462683822,0.12325372768382345
218,23.0,29.0,9.0,28.0,73.0,88.0,50.0,95.0,0.21477418172714688,0.6166617657904414,0.07294530356617647
219,30.0,14.0,2.0,31.0,92.0,43.0,51.0,92.0,0.21478672349565392,0.3273915720772061,0.3337432357169117
220,14.0,6.0,21.0,26.0,56.0,25.0,90.0,97.0,0.21429853393015474,0.19840221196691166,0.43797405308823506
221,31.0,18.0,6.0,27.0,91.0,90.0,40.0,82.0,0.2148038807006097,0.6437532163970582,0.05197595150735297
222,4.0,11.0,15.0,35.0,25.0,70.0,88.0,74.0,0.21356241461674555,0.5142202273345586,0.12709761363970584
223,16.0,5.0,11.0,19.0,93.0,50.0,61.0,90.0,0.2147316659419473,0.37882704955882357,0.36326182248161765
224,16.0,20.0,3.0,16.0,68.0,82.0,83.0,73.0,0.21486171634224785,0.6098625416360297,0.16726518376838242
225,29.0,12.0,30.0,8.0,99.0,61.0,97.0,76.0,0.21475832641520706,0.45879772477941194,0.36338699207720593
226,7.0,22.0,19.0,7.0,100.0,91.0,97.0,52.0,0.2147067407852228,0.6689643158272052,0.1718906795220587
227,11.0,38.0,18.0,16.0,26.0,49.0,79.0,47.0,0.21455961304173787,0.3716559972794118,0.38485903959558787
